,ID,Name,Address,X,Y,Country
0,1480,Fiesta Court Motel,"Fiesta Court Motel, Heads Road, College Estate, Whanganui, Whanganui District, Manawatu-Wanganui, 4500, New Zealand / Aotearoa",175.0410172,-39.9418759,NZ
1,1487,Otorohanga & Waitomo Motels,"Woodlyn Park Motel, Waitomo Valley Road, Waitomo Caves Village, Waitomo District, Waikato, 3977, New Zealand / Aotearoa",175.118830074592,-38.2539059,NZ
2,1565,Randolph Motel Apartments,,,,NZ
3,1573,Eden Gardens Motel,,,,NZ
4,1585,South Park Motel,,,,NZ
5,1611,Kaka Point Spa Motel At Catlins,,,,NZ
6,1616,eMotel,,,,NZ
7,1638,Riverside Motel,"Riverside Motel, 2822, Highway 60, Deerhust Resort, Lake of Bays, District Municipality of Muskoka, Muskoka District, Ontario, P0A 1H0, Canada",-79.0158058277303,45.33324765,NZ
8,1654,ASURE At Eden Park,,,,NZ
9,1698,Alpha Motel,"Alpha, Grundy County, Missouri, 64652, United States",-93.4210459,39.9852952,NZ
10,1724,Admirals View Lodge,"Admirals View, Westhill, Inverness, Highland, Scotland, IV2 5GW, United Kingdom",-4.1360051,57.4768779,NZ
11,1731,Amble In,"Amble, Northumberland, North East England, England, NE65 0DD, United Kingdom",-1.5839378,55.3337748,NZ
12,1798,Falls Motel & Waterfront Campground,,,,NZ
13,1800,New Haven Motel,,,,NZ
14,1818,Beaches Motel,,,,NZ
15,1826,Ohiwa Beach Apartments/ Motel,,,,NZ
16,1829,Wairoa Motel,,,,NZ
17,1842,Bk's Counties Motor Lodge,,,,NZ
18,1846,Mountain View Motel Taupo,,,,NZ
19,1857,Cornwall Park Motel,,,,NZ
20,1859,Phoenix Motor Inn,,,,NZ
21,1860,Pineacres Motel and Park,,,,NZ
22,1861,Shortland Court Motel,"Shortland, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2307, Australia",151.6871202,-32.8816613,NZ
23,1863,Bella Vista Motel New Plymouth,,,,NZ
24,1864,Blenheim Spa Motor Lodge,,,,NZ
25,1867,Golflands Motel,"Golflands Motel, Cascades Road, Northpark, Howick, Auckland, 2143, New Zealand / Aotearoa",174.9137756,-36.9166377,NZ
26,1873,Alexandra Heights Motel,,,,NZ
27,1887,Anchor Inn Motel,"Anchor Inn Motel, 208, Esplanade, South Bay, Kaikōura, Kaikōura District, Canterbury, 7300, New Zealand / Aotearoa",173.69091148851,-42.41418885,NZ
28,1889,Hawks Inn Motel,"The Hawk's Inn Motel, Fergusson Drive, Elderslea, Upper Hutt, Upper Hutt City, Wellington, 5018, New Zealand / Aotearoa",175.057208590515,-41.1260977,NZ
29,1896,Kerry Lane Motel,,,,NZ
30,1902,Gardena Court Motel,"Gardena Court, Cupertino, Santa Clara County, California, 95014-1614, United States",-122.0442812,37.3325624,NZ
31,1908,Bella Vista Motel Westport,,,,NZ
32,1910,Elmore Lodge Motel,,,,NZ
33,1919,Bayfield Motels,,,,NZ
34,1921,Hawera Central Motor Lodge,"Hawera Central Motor Lodge, Princess Street, Hāwera, South Taranaki District, Taranaki, 4610, New Zealand / Aotearoa",174.2829299,-39.5906451,NZ
35,1927,Spring Creek Motel,"Crescent Motel, Banff-Windermere Parkway, Radium Hot Springs, Regional District of East Kootenay, British Columbia, V0A 1M0, Canada",-116.0667901,50.6257098,NZ
36,1936,Belmont Motor Lodge,,,,NZ
37,1952,B-Ks Premier Motel Palmerston North,,,,NZ
38,1959,Kiwi Court Motel,"Kiwi Court Motel, Waihi Road, Hāwera, South Taranaki District, Taranaki, 4610, New Zealand / Aotearoa",174.2715666,-39.5760143,NZ
39,1961,PURE Motel and Guest House,"Gingerbread House, 1, เจริญเมือง, แพร่, จังหวัดแพร่, 54000, ประเทศไทย",100.1425099,18.1416417,NZ
40,1962,Arena Court Motor Lodge,,,,NZ
41,1963,Beachside Villas Motel,"Beachside Villas Motel, 71, Golf Road, Tāhunanui, Nelson, 7011, New Zealand / Aotearoa",173.2382377,-41.2868467,NZ
42,1966,Adelphi Motel,,,,NZ
43,1967,Middlemore Motel,"Middlemore Motel, Chelsea Avenue, Otahuhu, Mangere-Otahuhu, Auckland, 1062, New Zealand / Aotearoa",174.8361719,-36.9538351,NZ
44,1981,Carisbrook Motel,,,,NZ
45,1991,Aaron Court Motor Inn,,,,NZ
46,1999,Arbor Motel,,,,NZ
47,2007,Almond Court Motel,"Almond Court, Garston, Liverpool, North West England, England, L19, United Kingdom",-2.884481,53.3515449,NZ
48,2013,ASURE Townsman Motor Lodge,,,,NZ
49,2014,Bay of Islands Gateway Motel,,,,NZ
50,2020,Colonial Cottage Motel,"Turfside Motel, Dixie Highway, Elsmere, Boone County, Kentucky, 41042, United States of America",-84.616305683239,39.00539615,NZ
51,2021,Commodore Motel,"Commodore Motel, Foothill Boulevard, Elmhurst, Oakland, Alameda County, California, 2952, United States",-122.1546064,37.7453309,NZ
52,2023,Airport Harbour View Motel,,,,NZ
53,2025,Boatshed Motel Apartments,,,,NZ
54,1602,Heartland Hotel Croydon,,,,NZ
55,1614,Rutherford Hotel Nelson - A Heritage Hotel,,,,NZ
56,1637,The Lumsden Hotel,,,,NZ
57,1706,Queenstown Park Boutique Hotel,,,,NZ
58,1771,The Old Oak Boutique Hotel,,,,NZ
59,1820,Clarence Boutique Hotel,"Clarence, Municipality of the County of Annapolis, Annapolis County, Nova Scotia, B0S 1M0, Canada",-65.240646,44.8955507,NZ
60,1877,The Kamo Hotel,"Kamo Hotel, Kamo Road, Kamo, Whangarei, Whangarei District, Northland, 0112, New Zealand / Aotearoa",174.3002271,-35.682491,NZ
61,1880,Grand Hotel - Whangarei,"Grand Hotel, Rose Street, Vinetown, Whangarei, Whangarei District, Northland, 0110, New Zealand / Aotearoa",174.3194086,-35.7265772,NZ
62,1894,Hotel Montreal,"Hotel Montreal, Avenida Central España, Corregiduría de Bella Vista, La Cresta, Panamá, Distrito Panamá, Panamá, 041979, Panamá",-79.531095,8.9789977,NZ
63,1956,Wakatu Hotel,"Wakatu Hotel, 83, Collingwood Street, Beachville, Nelson, 7010, New Zealand / Aotearoa",173.287194502689,-41.2728767,NZ
64,2011,The Post Hotel,,,,NZ
65,2035,Garston Hotel & Cafe,"Garston Hotel & Cafe, 8, Garston Athol Highway, Garston, Southland District, Southland, 9793, New Zealand / Aotearoa",168.6831902,-45.4669476,NZ
66,2194,The Narrows Landing Hotel,"The Narrows, Tongue Mountain range Trail, Bolton Landing, Town of Bolton, Warren County, New York, 12814, United States",-73.6137201,43.5728827,NZ
67,2208,Briarwood Greytown Boutique Hotel,,,,NZ
68,2214,Tussock Grove Boutique Hotel,,,,NZ
69,2285,Karamea Village Hotel,,,,NZ
70,2309,Ikamatua Hotel,"Ikamatua Hotel, State Highway 7, Ikamatua, Buller District, West Coast, New Zealand / Aotearoa",171.6852743,-42.2706224,NZ
71,2326,Nice Hotel,,,,NZ
72,2431,The Kentish Hotel,"The Kentish Hotel, Queen Street, Franklin, Auckland, 2123, New Zealand / Aotearoa",174.7300552,-37.2484669,NZ
73,2460,Black Swan Lakeside Boutique Hotel,,,,NZ
74,2495,Masonic Hotel,,,,NZ
75,2505,Browns Boutique Hotel,"Browns, Southland District, Southland, New Zealand / Aotearoa",168.41743,-46.14964,NZ
76,2569,The Famous Grouse Hotel,,,,NZ
77,2643,Hamurana Lodge Boutique Hotel,,,,NZ
78,2676,Escape To Picton Boutique Hotel,,,,NZ
79,2729,Post Office Hotel,,,,NZ
80,2940,Eichardt's Private Hotel,,,,NZ
81,3008,Best Western Alpine Hotel,"Best Western, I 20;I 59, Princeton Heights, Tuscaloosa, Tuscaloosa County, Alabama, 35403, United States",-87.5229981,33.1731329,NZ
82,3110,Gretna Hotel Taihape,,,,NZ
83,3683,Kaponga Hotel,"Kaponga Hotel, Victoria Street, Kaponga, South Taranaki District, Taranaki, New Zealand / Aotearoa",174.1483724,-39.4291786,NZ
84,3692,Royal Mail Hotel,"Royal Mail Hotel, 145, Wallace Street, Braidwood, Queanbeyan-Palerang Regional Council, New South Wales, 2622, Australia",149.800031856639,-35.4429966,NZ
85,3890,Empire Hotel,"The Empire Hotel, Main Street, Terrace End, Palmerston North, Palmerston North City, Manawatu-Wanganui, 4410, New Zealand / Aotearoa",175.6152676,-40.3546108,NZ
86,3892,Feilding Hotel,,,,NZ
87,4653,Hidden Lake Hotel,"Hidden Lake, Cook County, Illinois, 60074, United States",-88.0125928,42.1432152,NZ
88,4670,Hotel D'urville Blenheim,,,,NZ
89,4745,Little Wanganui Hotel,"Little Wanganui, Buller District, West Coast, 7891, New Zealand / Aotearoa",172.0722313,-41.3761202,NZ
90,4840,Novotel Christchurch Airport,,,,NZ
91,5128,The Clyde Hotel,"The Clyde Hotel, Elgin Place South, Carlton, City of Melbourne, Victoria, CARLTON, Australia",144.965754208421,-37.7972485,NZ
92,5669,Auckland City Hotel,,,,NZ
93,5687,Capstone Hotels & Resorts,,,,NZ
94,5688,Cardrona Hotel,"Cardrona Hotel, Cardrona Valley Road, Cardrona, Queenstown-Lakes District, Otago, New Zealand / Aotearoa",169.0035729,-44.8814428,NZ
95,5699,Countrytime Hotel,,,,NZ
96,5703,Distinction Dunedin Hotel,"Distinction Dunedin Hotel, Princes Street, Dunedin Central, Dunedin, Dunedin City, Otago, 916, New Zealand / Aotearoa",170.501419972424,-45.8786762,NZ
97,5704,Distinction Fox Glacier Te Weheka Hotel,"Distinction Fox Glacier Te Weheka, Sullivan Road, Fox Glacier, Westland District, West Coast, 7859, New Zealand / Aotearoa",170.0196989,-43.4639733,NZ
98,5705,Duke of Marlborough Hotel,"Duke of Marlborough Hotel, 35, The Strand, Russell, Far North District, Northland, 0202, New Zealand",174.1214222,-35.2612066,NZ
99,5724,Heartland Hotel Cotswold,"Heartland Hotel, Cotswold, Holly Road, Merivale, Christchurch City, Canterbury, 8014, New Zealand",172.6255315,-43.5166731,NZ
100,5725,Heartland Hotel Fox Glacier,"Heartland Hotel, Cook Flat Road, Fox Glacier, Westland District, West Coast, 7859, New Zealand / Aotearoa",170.0166221,-43.4645308,NZ
101,5726,Heartland Hotel Glacier Country,,,,NZ
102,5727,Heartland World Heritage Hotel,,,,NZ
103,5731,Heritage Gateway Hotel Omarama,,,,NZ
104,5733,Hidden Lake Hotel and Apartments,,,,NZ
105,5737,Hotel St Clair,"Hôtel Saint-Clair, Rue Faubourg Saint-Armel, Ker Jeanne, Intramuros, Guérande, Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44350, France",-2.42908914857088,47.3251688,NZ
106,5762,Marlborough Vintners Hotel,"Marlborough Vintners Hotel, Rapaura Road, Renwick, Marlborough, 7273, New Zealand / Aotearoa",173.8395226,-41.4844314,NZ
107,5763,Martinborough Hotel,"The Martinborough Hotel, Kitchener Street, Martinborough, South Wairarapa District, Wellington, 5711, New Zealand / Aotearoa",175.4589048,-41.2181571,NZ
108,5769,Millennium Hotel & Resort Manuels Taupo,,,,NZ
109,5784,Novotel Christchurch Cathedral Square,"Novotel, Cathedral Square, Sydenham, Christchurch City, Canterbury, 8011, New Zealand",172.637644568926,-43.53029455,NZ
110,5785,Novotel Queenstown Lakeside,,,,NZ
111,5823,Ramada Hotel & Suites Christchurch,,,,NZ
112,5824,Ramada Remarkables Hotel Queenstown,,,,NZ
113,5840,Sarin Hotels,,,,NZ
114,5841,Scenic Hotel Southern Cross,"Southern Cross, Pacific Crest Trail, Chelan County, Washington, United States",-121.0790251,47.7388763,NZ
115,5846,Sofitel Queenstown Hotel and Spa,,,,NZ
116,5860,The Executive Residence Boutique Hotel,,,,NZ
117,5864,The Henley Hotel Cambridge,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",-74.0167815,40.7681636,NZ
118,5867,The Mount Cook Hotel Collection,,,,NZ
119,5870,Thorndon Hotel Wellington by Rydges,,,,NZ
